FECHA_DOC,SUBTOTAL_PARTIDA
2022-11-22,4850.0
2022-11-22,630.0
2022-11-22,8452.4
2022-12-22,31710.08
2022-12-22,7460.0
2022-12-22,4880.0
2022-12-22,3036.0
2022-12-22,5668.99
2022-12-22,2300.0
2022-12-22,17758.08
2022-12-22,1464.0
2022-12-22,1000.0
